DATA,TEMPERATURA
"Jan 1, 2018",
"Jan 2, 2018",
"Jan 3, 2018",
"Jan 4, 2018","33,152"
"Jan 5, 2018","29,302"
"Jan 6, 2018",
"Jan 7, 2018",
"Jan 8, 2018","29,29"
"Jan 9, 2018",
"Jan 10, 2018",
"Jan 11, 2018",
"Jan 12, 2018","22,584"
"Jan 13, 2018","28,199"
"Jan 14, 2018",
"Jan 15, 2018",
"Jan 16, 2018","24,41"
"Jan 17, 2018",
"Jan 18, 2018",
"Jan 19, 2018",
"Jan 20, 2018","31,278"
"Jan 21, 2018",
"Jan 22, 2018","29,713"
"Jan 23, 2018","25,522"
"Jan 24, 2018","33,35"
"Jan 25, 2018",
"Jan 26, 2018","22,49"
"Jan 27, 2018","29,042"
"Jan 28, 2018","23,87"
"Jan 29, 2018",
"Jan 30, 2018",
"Jan 31, 2018",
"Feb 1, 2018",
"Feb 2, 2018","31,08"
"Feb 3, 2018","32,65"
"Feb 4, 2018","30,23"
"Feb 5, 2018","34,087"
"Feb 6, 2018","29,641"
"Feb 7, 2018","37,179"
"Feb 8, 2018","35,283"
"Feb 9, 2018","35,801"
"Feb 10, 2018",
"Feb 11, 2018",
"Feb 12, 2018",
"Feb 13, 2018",
"Feb 14, 2018",
"Feb 15, 2018",
"Feb 16, 2018","31,41"
"Feb 17, 2018",
"Feb 18, 2018",
"Feb 19, 2018",
"Feb 20, 2018",
"Feb 21, 2018","29,403"
"Feb 22, 2018","27,852"
"Feb 23, 2018","33,21"
"Feb 24, 2018","28,919"
"Feb 25, 2018","31,644"
"Feb 26, 2018","27,59"
"Feb 27, 2018",
"Feb 28, 2018","24,31"
"Mar 1, 2018",
"Mar 2, 2018",
"Mar 3, 2018",
"Mar 4, 2018","31,208"
"Mar 5, 2018","32,19"
"Mar 6, 2018",
"Mar 7, 2018","24,975"
"Mar 8, 2018","29,413"
"Mar 9, 2018",
"Mar 10, 2018",
"Mar 11, 2018","31,776"
"Mar 12, 2018","28,09"
"Mar 13, 2018","33,588"
"Mar 14, 2018",
"Mar 15, 2018",
"Mar 16, 2018","28,826"
"Mar 17, 2018","29,201"
"Mar 18, 2018","32,657"
"Mar 19, 2018",
"Mar 20, 2018","33,41"
"Mar 21, 2018",
"Mar 22, 2018","26,43"
"Mar 23, 2018","31,213"
"Mar 24, 2018","28,359"
"Mar 25, 2018",
