system:time_start,LST_Day_1km
"Jan 1, 2020",34.41
"Jan 2, 2020",27.17
"Jan 3, 2020",
"Jan 4, 2020",
"Jan 5, 2020",32.402
"Jan 6, 2020",31.33
"Jan 7, 2020",
"Jan 8, 2020",
"Jan 9, 2020",
"Jan 10, 2020",31.207
"Jan 11, 2020",
"Jan 12, 2020",32.934
"Jan 13, 2020",
"Jan 14, 2020",27.07
"Jan 15, 2020",32.302
"Jan 16, 2020",33.415
"Jan 17, 2020",25.79
"Jan 18, 2020",22.85
"Jan 19, 2020",34.348
"Jan 20, 2020",
"Jan 21, 2020",30.187
"Jan 22, 2020",
"Jan 23, 2020",
"Jan 24, 2020",26.526
"Jan 25, 2020",
"Jan 26, 2020",34.976
"Jan 27, 2020",
"Jan 28, 2020",36.562
"Jan 29, 2020",
"Jan 30, 2020",
"Jan 31, 2020",
"Feb 1, 2020",
"Feb 2, 2020",
"Feb 3, 2020",
"Feb 4, 2020",
"Feb 5, 2020",
"Feb 6, 2020",29.085
"Feb 7, 2020",25.33
"Feb 8, 2020",23.03
"Feb 9, 2020",27.217
"Feb 10, 2020",26.279
"Feb 11, 2020",21.25
"Feb 12, 2020",25.359
"Feb 13, 2020",32.146
"Feb 14, 2020",
"Feb 15, 2020",30.514
"Feb 16, 2020",32.855
"Feb 17, 2020",33.581
"Feb 18, 2020",33.673
"Feb 19, 2020",24.67
"Feb 20, 2020",
"Feb 21, 2020",
"Feb 22, 2020",31.286
"Feb 23, 2020",24.9
"Feb 24, 2020",27.777
"Feb 25, 2020",
"Feb 26, 2020",
"Feb 27, 2020",26.287
"Feb 28, 2020",25.33
"Feb 29, 2020",31.465
"Mar 1, 2020",28.705
"Mar 2, 2020",27.643
"Mar 3, 2020",28.274
"Mar 4, 2020",29.148
"Mar 5, 2020",32.469
"Mar 6, 2020",26.89
"Mar 7, 2020",32.092
"Mar 8, 2020",
"Mar 9, 2020",33.701
"Mar 10, 2020",32.592
"Mar 11, 2020",33.212
"Mar 12, 2020",33.086
"Mar 13, 2020",30.854
"Mar 14, 2020",35.663
"Mar 15, 2020",
"Mar 16, 2020",35.946
"Mar 17, 2020",
"Mar 18, 2020",29.569
"Mar 19, 2020",31.288
"Mar 20, 2020",
"Mar 21, 2020",32.41
"Mar 22, 2020",27.073
"Mar 23, 2020",33.284
"Mar 24, 2020",
"Mar 25, 2020",32.532
"Mar 26, 2020",32.464
"Mar 27, 2020",31.209
"Mar 28, 2020",29.25
"Mar 29, 2020",
"Mar 30, 2020",30.4
"Mar 31, 2020",
"Apr 1, 2020",33.443
"Apr 2, 2020",
"Apr 3, 2020",26.55
"Apr 4, 2020",31.78
"Apr 5, 2020",
"Apr 6, 2020",32.936
"Apr 7, 2020",22.37
"Apr 8, 2020",30.917
"Apr 9, 2020",
"Apr 10, 2020",31.408
"Apr 11, 2020",31.346
"Apr 12, 2020",28.41
"Apr 13, 2020",29.649
"Apr 14, 2020",
"Apr 15, 2020",25.14
"Apr 16, 2020",23.13
"Apr 17, 2020",28.657
"Apr 18, 2020",
"Apr 19, 2020",28.091
"Apr 20, 2020",29.525
"Apr 21, 2020",28.71
"Apr 22, 2020",31.537
"Apr 23, 2020",25.636
"Apr 24, 2020",30.286
"Apr 25, 2020",
"Apr 26, 2020",32.525
"Apr 27, 2020",29.363
"Apr 28, 2020",28.55
"Apr 29, 2020",31.78
"Apr 30, 2020",29.467
"May 1, 2020",33.912
"May 2, 2020",25.271
"May 3, 2020",29.846
"May 4, 2020",25.141
"May 5, 2020",25.35
"May 6, 2020",
"May 7, 2020",24.411
"May 8, 2020",27.779
"May 9, 2020",24.23
"May 10, 2020",30.776
"May 11, 2020",
"May 12, 2020",
"May 13, 2020",
"May 14, 2020",
"May 15, 2020",23.33
"May 16, 2020",24.081
"May 17, 2020",28.473
"May 18, 2020",23.39
"May 19, 2020",27.155
"May 20, 2020",28.211
"May 21, 2020",23.658
"May 22, 2020",
"May 23, 2020",
"May 24, 2020",
"May 25, 2020",18.09
"May 26, 2020",22.967
"May 27, 2020",
"May 28, 2020",23.08
"May 29, 2020",25.78
"May 30, 2020",23.761
"May 31, 2020",27.274
"Jun 1, 2020",
"Jun 2, 2020",
"Jun 3, 2020",
"Jun 4, 2020",
"Jun 5, 2020",
"Jun 6, 2020",
"Jun 7, 2020",21.345
"Jun 8, 2020",
"Jun 9, 2020",28.783
"Jun 10, 2020",
"Jun 11, 2020",22.41
"Jun 12, 2020",
"Jun 13, 2020",28.35
"Jun 14, 2020",24.71
"Jun 15, 2020",23.579
"Jun 16, 2020",26.645
"Jun 17, 2020",23.859
"Jun 18, 2020",19.79
"Jun 19, 2020",24.14
"Jun 20, 2020",28.85
"Jun 21, 2020",28.361
"Jun 22, 2020",28.091
"Jun 23, 2020",28.348
"Jun 24, 2020",18.49
"Jun 25, 2020",25.75
"Jun 26, 2020",
"Jun 27, 2020",19.53
"Jun 28, 2020",
"Jun 29, 2020",11.59
"Jun 30, 2020",21.778
"Jul 1, 2020",17.419
"Jul 2, 2020",19.582
"Jul 3, 2020",18.15
"Jul 4, 2020",22.418
"Jul 5, 2020",
"Jul 6, 2020",26.815
"Jul 7, 2020",26.972
"Jul 8, 2020",
"Jul 9, 2020",
"Jul 10, 2020",19.263
"Jul 11, 2020",27.087
"Jul 12, 2020",25.03
"Jul 13, 2020",29.206
"Jul 14, 2020",
"Jul 15, 2020",25.354
"Jul 16, 2020",21.58
"Jul 17, 2020",27.147
"Jul 18, 2020",29.781
"Jul 19, 2020",25.142
"Jul 20, 2020",28.78
