DATA,TEMPERATURA
"Jan 1, 2017","25,66"
"Jan 2, 2017",
"Jan 3, 2017","31,09"
"Jan 4, 2017",
"Jan 5, 2017",
"Jan 6, 2017",
"Jan 7, 2017","26,59"
"Jan 8, 2017","35,941"
"Jan 9, 2017","37,296"
"Jan 10, 2017",
"Jan 11, 2017",
"Jan 12, 2017","31,661"
"Jan 13, 2017","33,347"
"Jan 14, 2017","31,66"
"Jan 15, 2017","33,805"
"Jan 16, 2017","30,42"
"Jan 17, 2017","29,11"
"Jan 18, 2017",
"Jan 19, 2017","30,482"
"Jan 20, 2017",
"Jan 21, 2017","30,162"
"Jan 22, 2017","27,55"
"Jan 23, 2017",
"Jan 24, 2017","31,968"
"Jan 25, 2017",
"Jan 26, 2017","23,23"
"Jan 27, 2017","29,647"
"Jan 28, 2017",
"Jan 29, 2017","29,05"
"Jan 30, 2017",
"Jan 31, 2017","29,33"
"Feb 1, 2017","16,85"
"Feb 2, 2017",
"Feb 3, 2017",
"Feb 4, 2017","34,907"
"Feb 5, 2017",
"Feb 6, 2017","29,931"
"Feb 7, 2017","31,35"
"Feb 8, 2017","31,35"
"Feb 9, 2017","30,786"
"Feb 10, 2017","32,53"
"Feb 11, 2017","29,518"
"Feb 12, 2017",
"Feb 13, 2017",
"Feb 14, 2017",
"Feb 15, 2017","31,798"
"Feb 16, 2017","33,85"
"Feb 17, 2017","30,478"
"Feb 18, 2017","34,158"
"Feb 19, 2017","30,303"
"Feb 20, 2017","34,01"
"Feb 21, 2017","29,535"
"Feb 22, 2017","31,354"
"Feb 23, 2017","30,66"
"Feb 24, 2017",
"Feb 25, 2017","29,09"
"Feb 26, 2017","30,59"
"Feb 27, 2017","32,593"
"Feb 28, 2017","34,01"
"Mar 1, 2017","34,977"
"Mar 2, 2017","25,09"
"Mar 3, 2017","28,263"
"Mar 4, 2017",
"Mar 5, 2017",
"Mar 6, 2017",
"Mar 7, 2017",
"Mar 8, 2017","33,357"
"Mar 9, 2017","29,422"
"Mar 10, 2017","33,038"
"Mar 11, 2017","33,16"
"Mar 12, 2017","32,527"
"Mar 13, 2017","26,862"
"Mar 14, 2017","25,71"
"Mar 15, 2017","32,58"
"Mar 16, 2017","30,45"
"Mar 17, 2017",
"Mar 18, 2017",
"Mar 19, 2017",
"Mar 20, 2017","30,261"
"Mar 21, 2017","28,517"
"Mar 22, 2017","32,408"
"Mar 23, 2017",
"Mar 24, 2017","33,097"
"Mar 25, 2017","30,05"
"Mar 26, 2017",
"Mar 27, 2017",
"Mar 28, 2017",
"Mar 29, 2017","30,908"
"Mar 30, 2017","26,95"
"Mar 31, 2017","29,022"
"Apr 1, 2017","24,48"
"Apr 2, 2017","29,468"
"Apr 3, 2017","30,208"
"Apr 4, 2017",
"Apr 5, 2017",
"Apr 6, 2017",
"Apr 7, 2017",
"Apr 8, 2017",
"Apr 9, 2017",
"Apr 10, 2017","21,77"
"Apr 11, 2017",
"Apr 12, 2017",
"Apr 13, 2017","27,017"
