system:time_start,LST_Day_1km
"Jan 1, 2020",32.157
"Jan 2, 2020",
"Jan 3, 2020",
"Jan 4, 2020",
"Jan 5, 2020",33.85
"Jan 6, 2020",31.084
"Jan 7, 2020",
"Jan 8, 2020",
"Jan 9, 2020",
"Jan 10, 2020",30.83
"Jan 11, 2020",
"Jan 12, 2020",27.89
"Jan 13, 2020",
"Jan 14, 2020",
"Jan 15, 2020",30.154
"Jan 16, 2020",
"Jan 17, 2020",28.522
"Jan 18, 2020",23.79
"Jan 19, 2020",34.019
"Jan 20, 2020",
"Jan 21, 2020",26.643
"Jan 22, 2020",
"Jan 23, 2020",
"Jan 24, 2020",30.778
"Jan 25, 2020",
"Jan 26, 2020",35.902
"Jan 27, 2020",
"Jan 28, 2020",35.795
"Jan 29, 2020",22.7
"Jan 30, 2020",
"Jan 31, 2020",
"Feb 1, 2020",
"Feb 2, 2020",
"Feb 3, 2020",
"Feb 4, 2020",
"Feb 5, 2020",
"Feb 6, 2020",29.89
"Feb 7, 2020",29.09
"Feb 8, 2020",27.026
"Feb 9, 2020",27.16
"Feb 10, 2020",17.53
"Feb 11, 2020",
"Feb 12, 2020",22.75
"Feb 13, 2020",30.903
"Feb 14, 2020",
"Feb 15, 2020",25.49
"Feb 16, 2020",33.095
"Feb 17, 2020",33.83
"Feb 18, 2020",30.97
"Feb 19, 2020",
"Feb 20, 2020",
"Feb 21, 2020",
"Feb 22, 2020",31.538
"Feb 23, 2020",
"Feb 24, 2020",24.89
"Feb 25, 2020",23.21
"Feb 26, 2020",
"Feb 27, 2020",30.474
"Feb 28, 2020",23.85
"Feb 29, 2020",31.526
"Mar 1, 2020",29.141
"Mar 2, 2020",29.27
"Mar 3, 2020",29.259
"Mar 4, 2020",29.55
"Mar 5, 2020",33.704
"Mar 6, 2020",26.918
"Mar 7, 2020",32.851
"Mar 8, 2020",28.765
"Mar 9, 2020",33.598
"Mar 10, 2020",33.586
"Mar 11, 2020",32.588
"Mar 12, 2020",34.282
"Mar 13, 2020",
"Mar 14, 2020",36.35
"Mar 15, 2020",
"Mar 16, 2020",36.208
"Mar 17, 2020",29.13
"Mar 18, 2020",33.215
"Mar 19, 2020",31.47
"Mar 20, 2020",
"Mar 21, 2020",34.212
"Mar 22, 2020",27.028
"Mar 23, 2020",33.472
"Mar 24, 2020",30.59
"Mar 25, 2020",32.642
"Mar 26, 2020",31.592
"Mar 27, 2020",31.848
"Mar 28, 2020",
"Mar 29, 2020",23.915
"Mar 30, 2020",30.585
"Mar 31, 2020",
"Apr 1, 2020",33.909
"Apr 2, 2020",
"Apr 3, 2020",25.958
"Apr 4, 2020",31.597
"Apr 5, 2020",
"Apr 6, 2020",32.593
"Apr 7, 2020",
"Apr 8, 2020",30.154
"Apr 9, 2020",28.527
"Apr 10, 2020",28.783
"Apr 11, 2020",30.522
"Apr 12, 2020",28.262
"Apr 13, 2020",29.73
"Apr 14, 2020",
"Apr 15, 2020",24.61
"Apr 16, 2020",22.21
"Apr 17, 2020",28.716
"Apr 18, 2020",
"Apr 19, 2020",27.416
"Apr 20, 2020",29.922
"Apr 21, 2020",28.61
"Apr 22, 2020",31.779
"Apr 23, 2020",24.517
"Apr 24, 2020",30.408
"Apr 25, 2020",28.074
"Apr 26, 2020",32.033
"Apr 27, 2020",29.59
"Apr 28, 2020",28.196
"Apr 29, 2020",31.474
"Apr 30, 2020",28.762
"May 1, 2020",31.15
"May 2, 2020",
"May 3, 2020",29.591
"May 4, 2020",25.466
"May 5, 2020",
"May 6, 2020",
"May 7, 2020",22.644
"May 8, 2020",26.092
"May 9, 2020",21.77
"May 10, 2020",30.538
"May 11, 2020",26.477
"May 12, 2020",
"May 13, 2020",
"May 14, 2020",14.05
"May 15, 2020",21.77
"May 16, 2020",21.482
"May 17, 2020",27.348
"May 18, 2020",22.59
"May 19, 2020",26.17
"May 20, 2020",27.99
"May 21, 2020",24.014
"May 22, 2020",
"May 23, 2020",
"May 24, 2020",
"May 25, 2020",17.205
"May 26, 2020",22.019
"May 27, 2020",23.024
"May 28, 2020",23.198
"May 29, 2020",25.05
"May 30, 2020",22.337
"May 31, 2020",26.276
"Jun 1, 2020",
"Jun 2, 2020",
"Jun 3, 2020",
"Jun 4, 2020",
"Jun 5, 2020",19.296
"Jun 6, 2020",17.73
"Jun 7, 2020",21.45
"Jun 8, 2020",21.03
"Jun 9, 2020",27.031
"Jun 10, 2020",
"Jun 11, 2020",24.523
"Jun 12, 2020",22.977
"Jun 13, 2020",24.027
"Jun 14, 2020",24.7
"Jun 15, 2020",22.802
"Jun 16, 2020",26.61
"Jun 17, 2020",22.81
"Jun 18, 2020",27.788
"Jun 19, 2020",22.35
"Jun 20, 2020",28.341
"Jun 21, 2020",27.427
"Jun 22, 2020",27.588
"Jun 23, 2020",28.583
"Jun 24, 2020",19.19
"Jun 25, 2020",21.983
"Jun 26, 2020",18.05
"Jun 27, 2020",
"Jun 28, 2020",
"Jun 29, 2020",16.57
"Jun 30, 2020",24.33
"Jul 1, 2020",16.93
"Jul 2, 2020",19.142
"Jul 3, 2020",17.49
"Jul 4, 2020",22.11
"Jul 5, 2020",
"Jul 6, 2020",22.03
"Jul 7, 2020",
"Jul 8, 2020",
"Jul 9, 2020",15.781
"Jul 10, 2020",12.518
"Jul 11, 2020",26.21
"Jul 12, 2020",22.83
"Jul 13, 2020",26.582
"Jul 14, 2020",26.594
"Jul 15, 2020",24.693
"Jul 16, 2020",21.03
"Jul 17, 2020",26.47
"Jul 18, 2020",29.156
"Jul 19, 2020",22.73
"Jul 20, 2020",28.849
"Jul 21, 2020",22.37
"Jul 22, 2020",29.203
"Jul 23, 2020",29.277
"Jul 24, 2020",28.411
"Jul 25, 2020",
"Jul 26, 2020",
"Jul 27, 2020",
"Jul 28, 2020",22.148
"Jul 29, 2020",
"Jul 30, 2020",22.43
"Jul 31, 2020",24.703
"Aug 1, 2020",27.656
