Data,Temperatura
"Jan 1, 2017","27,149"
"Jan 2, 2017",
"Jan 3, 2017","28,907"
"Jan 4, 2017",
"Jan 5, 2017","29,906"
"Jan 6, 2017",
"Jan 7, 2017","29,84"
"Jan 8, 2017","31,446"
"Jan 9, 2017",
"Jan 10, 2017",
"Jan 11, 2017","24,486"
"Jan 12, 2017","27,442"
"Jan 13, 2017","26,277"
"Jan 14, 2017","29,312"
"Jan 15, 2017","26,71"
"Jan 16, 2017","28,67"
"Jan 17, 2017","26,793"
"Jan 18, 2017",
"Jan 19, 2017","26,356"
"Jan 20, 2017","21,79"
"Jan 21, 2017","29,05"
"Jan 22, 2017","24,53"
"Jan 23, 2017","28,03"
"Jan 24, 2017","26,951"
"Jan 25, 2017",
"Jan 26, 2017",
"Jan 27, 2017","25,579"
"Jan 28, 2017",
"Jan 29, 2017",
"Jan 30, 2017",
"Jan 31, 2017",
"Feb 1, 2017",
"Feb 2, 2017","20,31"
"Feb 3, 2017",
"Feb 4, 2017","31,064"
"Feb 5, 2017","27,942"
"Feb 6, 2017","30,819"
"Feb 7, 2017","30,674"
"Feb 8, 2017","30,353"
"Feb 9, 2017","31,31"
"Feb 10, 2017","26,11"
"Feb 11, 2017","30,83"
"Feb 12, 2017",
"Feb 13, 2017",
"Feb 14, 2017",
"Feb 15, 2017","32,974"
"Feb 16, 2017","31,913"
"Feb 17, 2017","32,81"
"Feb 18, 2017","35,684"
"Feb 19, 2017","32,205"
"Feb 20, 2017","35,182"
"Feb 21, 2017","28,282"
"Feb 22, 2017","37,301"
"Feb 23, 2017","34,308"
"Feb 24, 2017",
"Feb 25, 2017","30,03"
"Feb 26, 2017",
"Feb 27, 2017","33,171"
"Feb 28, 2017","32,486"
"Mar 1, 2017","35,557"
"Mar 2, 2017",
"Mar 3, 2017","28,7"
"Mar 4, 2017",
"Mar 5, 2017",
"Mar 6, 2017",
"Mar 7, 2017",
"Mar 8, 2017","34,276"
"Mar 9, 2017","27,75"
"Mar 10, 2017","35,14"
"Mar 11, 2017","31,81"
"Mar 12, 2017","33,474"
"Mar 13, 2017","31,174"
"Mar 14, 2017","29,529"
"Mar 15, 2017","33,408"
"Mar 16, 2017",
"Mar 17, 2017",
"Mar 18, 2017",
"Mar 19, 2017",
"Mar 20, 2017","29,466"
"Mar 21, 2017","28,036"
"Mar 22, 2017","32,177"
"Mar 23, 2017","28,167"
"Mar 24, 2017","31,936"
"Mar 25, 2017","30,257"
"Mar 26, 2017","29,528"
"Mar 27, 2017",
"Mar 28, 2017","24,348"
"Mar 29, 2017","30,649"
"Mar 30, 2017","27,969"
"Mar 31, 2017","31,281"
"Apr 1, 2017","21,528"
"Apr 2, 2017","30,308"
"Apr 3, 2017","29,283"
"Apr 4, 2017","28,593"
"Apr 5, 2017",
"Apr 6, 2017",
"Apr 7, 2017","24,651"
"Apr 8, 2017",
"Apr 9, 2017","25,698"
"Apr 10, 2017","25,722"
"Apr 11, 2017","26,98"
"Apr 12, 2017",
"Apr 13, 2017","25,711"
"Apr 14, 2017","28,649"
"Apr 15, 2017","26,591"
"Apr 16, 2017",
"Apr 17, 2017","22,41"
"Apr 18, 2017","21,65"
"Apr 19, 2017","20,282"
"Apr 20, 2017","21,09"
"Apr 21, 2017",
"Apr 22, 2017","23,48"
"Apr 23, 2017","26,521"
"Apr 24, 2017",
"Apr 25, 2017","23,49"
"Apr 26, 2017",
"Apr 27, 2017","19,83"
"Apr 28, 2017","23,521"
"Apr 29, 2017","22,26"
"Apr 30, 2017","24,207"
"May 1, 2017","21,94"
"May 2, 2017","24,281"
"May 3, 2017","22,861"
"May 4, 2017",
"May 5, 2017",
"May 6, 2017","24,52"
"May 7, 2017","20,539"
"May 8, 2017","23,761"
"May 9, 2017","22,863"
"May 10, 2017",
"May 11, 2017","24,467"
"May 12, 2017","20,347"
"May 13, 2017","26,47"
"May 14, 2017","23,799"
"May 15, 2017","20,714"
"May 16, 2017","22,851"
"May 17, 2017",
"May 18, 2017",
"May 19, 2017",
"May 20, 2017",
"May 21, 2017",
"May 22, 2017","23,298"
"May 23, 2017","19,645"
"May 24, 2017","23,03"
"May 25, 2017","26,641"
"May 26, 2017","23,73"
"May 27, 2017",
"May 28, 2017",
"May 29, 2017","22,211"
"May 30, 2017","19,095"
"May 31, 2017","21,95"
"Jun 1, 2017","15,768"
"Jun 2, 2017","17,17"
"Jun 3, 2017","21,33"
"Jun 4, 2017","22,41"
"Jun 5, 2017",
"Jun 6, 2017",
"Jun 7, 2017","24,091"
"Jun 8, 2017",
"Jun 9, 2017",
"Jun 10, 2017","16,141"
"Jun 11, 2017","16,48"
"Jun 12, 2017","18,278"
"Jun 13, 2017",
"Jun 14, 2017","21,205"
"Jun 15, 2017","22,018"
"Jun 16, 2017","21,801"
"Jun 17, 2017","24,761"
"Jun 18, 2017","24,23"
"Jun 19, 2017","16,77"
"Jun 20, 2017",
"Jun 21, 2017","20,761"
"Jun 22, 2017","22,86"
"Jun 23, 2017","22,73"
"Jun 24, 2017","24,761"
"Jun 25, 2017","21,289"
"Jun 26, 2017","23,71"
"Jun 27, 2017","20,95"
"Jun 28, 2017","24,73"
"Jun 29, 2017",
"Jun 30, 2017","24,86"
"Jul 1, 2017","24,969"
"Jul 2, 2017","15,65"
"Jul 3, 2017","19,088"
"Jul 4, 2017","16,861"
"Jul 5, 2017","21,67"
"Jul 6, 2017","17,93"
"Jul 7, 2017","22,919"
"Jul 8, 2017","21,352"
"Jul 9, 2017","19,161"
"Jul 10, 2017","25,519"
"Jul 11, 2017","23,799"
"Jul 12, 2017","26,211"
"Jul 13, 2017","21,61"
"Jul 14, 2017","25,78"
"Jul 15, 2017","25,39"
"Jul 16, 2017","25,71"
"Jul 17, 2017","20,079"
"Jul 18, 2017","15,11"
"Jul 19, 2017","19,41"
"Jul 20, 2017","18,981"
"Jul 21, 2017","26,089"
"Jul 22, 2017","22,528"
"Jul 23, 2017","25,91"
"Jul 24, 2017","26,761"
"Jul 25, 2017","27,351"
"Jul 26, 2017","28,909"
"Jul 27, 2017","25,2"
"Jul 28, 2017","26,651"
"Jul 29, 2017","23,87"
"Jul 30, 2017","27,47"
"Jul 31, 2017",
"Aug 1, 2017","26,899"
"Aug 2, 2017","28,095"
"Aug 3, 2017","17,67"
"Aug 4, 2017","24,588"
"Aug 5, 2017","21,17"
"Aug 6, 2017","25,65"
"Aug 7, 2017","23,91"
"Aug 8, 2017","27,817"
"Aug 9, 2017","33,198"
"Aug 10, 2017","31,783"
"Aug 11, 2017","29,279"
"Aug 12, 2017","28,25"
"Aug 13, 2017","29,171"
"Aug 14, 2017","20,25"
"Aug 15, 2017",
"Aug 16, 2017",
"Aug 17, 2017",
"Aug 18, 2017",
"Aug 19, 2017","16,27"
"Aug 20, 2017","21,032"
"Aug 21, 2017","20,23"
"Aug 22, 2017","23,783"
"Aug 23, 2017","21,37"
"Aug 24, 2017","29,468"
"Aug 25, 2017","30,531"
"Aug 26, 2017","31,035"
"Aug 27, 2017","32,969"
"Aug 28, 2017","31,148"
"Aug 29, 2017","35,092"
"Aug 30, 2017","32,778"
"Aug 31, 2017","36,472"
"Sep 1, 2017","27,906"
"Sep 2, 2017","31,348"
"Sep 3, 2017","32,208"
"Sep 4, 2017","32,282"
"Sep 5, 2017","36,348"
"Sep 6, 2017","31,028"
"Sep 7, 2017","36,437"
"Sep 8, 2017","31,776"
"Sep 9, 2017","31,438"
"Sep 10, 2017","33,211"
"Sep 11, 2017","32,174"
"Sep 12, 2017","38,184"
"Sep 13, 2017","33,281"
"Sep 14, 2017","37,208"
"Sep 15, 2017","33,67"
"Sep 16, 2017","38,181"
"Sep 17, 2017","36,905"
"Sep 18, 2017","37,589"
"Sep 19, 2017","38,566"
"Sep 20, 2017","37,351"
"Sep 21, 2017","37,591"
"Sep 22, 2017","36,283"
"Sep 23, 2017","40,559"
"Sep 24, 2017","33,55"
"Sep 25, 2017","34,434"
"Sep 26, 2017",
"Sep 27, 2017","38,944"
"Sep 28, 2017","36,29"
"Sep 29, 2017",
"Sep 30, 2017",
"Oct 1, 2017","28,141"
"Oct 2, 2017",
"Oct 3, 2017",
"Oct 4, 2017","31,851"
"Oct 5, 2017","35,278"
"Oct 6, 2017","38,253"
"Oct 7, 2017",
"Oct 8, 2017",
"Oct 9, 2017",
"Oct 10, 2017",
"Oct 11, 2017","38,782"
"Oct 12, 2017","37,588"
"Oct 13, 2017","38,947"
"Oct 14, 2017","28,706"
"Oct 14, 2017","33,98"
"Oct 16, 2017","37,655"
"Oct 17, 2017","34,144"
"Oct 18, 2017","42,471"
"Oct 19, 2017",
"Oct 20, 2017",
"Oct 21, 2017",
"Oct 22, 2017",
"Oct 23, 2017",
"Oct 24, 2017","28,522"
"Oct 25, 2017","31,47"
"Oct 26, 2017",
"Oct 27, 2017",
"Oct 28, 2017","26,47"
"Oct 29, 2017","30,87"
"Oct 30, 2017",
"Oct 31, 2017","25,647"
"Nov 1, 2017","33,646"
"Nov 2, 2017","30,78"
"Nov 3, 2017","36,295"
"Nov 4, 2017",
"Nov 5, 2017","27,55"
"Nov 6, 2017",
"Nov 7, 2017","22,966"
"Nov 8, 2017",
"Nov 9, 2017","27,19"
"Nov 10, 2017","31,55"
"Nov 11, 2017","28,275"
"Nov 12, 2017","39,437"
"Nov 13, 2017","38,148"
"Nov 14, 2017","40,171"
"Nov 15, 2017","41,684"
"Nov 16, 2017","38,654"
"Nov 17, 2017","33,564"
"Nov 18, 2017",
"Nov 19, 2017","30,271"
"Nov 20, 2017",
"Nov 21, 2017","37,21"
"Nov 22, 2017","27,41"
"Nov 23, 2017","33,09"
"Nov 24, 2017","38,802"
"Nov 25, 2017",
"Nov 26, 2017",
"Nov 27, 2017",
"Nov 28, 2017","28,971"
"Nov 29, 2017","29,409"
"Nov 30, 2017",
"Dec 1, 2017","29,36"
"Dec 2, 2017","30,35"
"Dec 3, 2017","34,054"
"Dec 4, 2017","31,319"
"Dec 5, 2017","33,442"
"Dec 6, 2017",
"Dec 7, 2017",
"Dec 8, 2017","26,519"
"Dec 9, 2017","31,855"
"Dec 10, 2017","26,982"
"Dec 11, 2017","32,65"
"Dec 12, 2017","32,529"
"Dec 13, 2017","26,33"
"Dec 14, 2017","34,781"
"Dec 15, 2017","30,942"
"Dec 16, 2017","34,067"
"Dec 17, 2017","29,436"
"Dec 18, 2017","33,29"
"Dec 19, 2017","31,538"
"Dec 20, 2017",
"Dec 21, 2017",
"Dec 22, 2017",
"Dec 23, 2017",
"Dec 24, 2017",
"Dec 25, 2017",
"Dec 26, 2017",
"Dec 27, 2017",
"Dec 28, 2017",
"Dec 29, 2017",
"Dec 30, 2017","25,47"
"Dec 31, 2017","25,303"
