DATA,TEMPERATURA
"Jan 1, 2018","23,297"
"Jan 2, 2018",
"Jan 3, 2018","21,959"
"Jan 4, 2018","27,78"
"Jan 5, 2018","27,148"
"Jan 6, 2018","26,685"
"Jan 7, 2018",
"Jan 8, 2018","22,638"
"Jan 9, 2018",
"Jan 10, 2018",
"Jan 11, 2018",
"Jan 12, 2018",
"Jan 13, 2018","22,91"
"Jan 14, 2018",
"Jan 15, 2018","25,23"
"Jan 16, 2018",
"Jan 17, 2018",
"Jan 18, 2018",
"Jan 19, 2018","30,038"
"Jan 20, 2018","28,408"
"Jan 21, 2018","26,184"
"Jan 22, 2018",
"Jan 23, 2018","28,795"
"Jan 24, 2018","29,807"
"Jan 25, 2018","22,21"
"Jan 26, 2018","25,913"
"Jan 27, 2018","22,85"
"Jan 28, 2018","25,554"
"Jan 29, 2018",
"Jan 30, 2018",
"Jan 31, 2018","27,682"
"Feb 1, 2018","21,561"
"Feb 2, 2018","29,81"
"Feb 3, 2018","29,349"
"Feb 4, 2018","29,151"
"Feb 5, 2018","30,467"
"Feb 6, 2018","28,408"
"Feb 7, 2018","33,53"
"Feb 8, 2018","31,581"
"Feb 9, 2018","33,31"
"Feb 10, 2018",
"Feb 11, 2018",
"Feb 12, 2018",
"Feb 13, 2018","22,39"
"Feb 14, 2018","28,317"
"Feb 15, 2018","25,27"
"Feb 16, 2018","29,309"
"Feb 17, 2018",
"Feb 18, 2018",
"Feb 19, 2018",
"Feb 20, 2018",
"Feb 21, 2018","28,918"
"Feb 22, 2018","29,7"
"Feb 23, 2018","34,776"
"Feb 24, 2018","32,647"
"Feb 25, 2018","34,778"
"Feb 26, 2018","32,566"
"Feb 27, 2018",
"Feb 28, 2018",
"Mar 1, 2018","28,49"
"Mar 2, 2018",
"Mar 3, 2018",
"Mar 4, 2018","33,279"
"Mar 5, 2018","34,69"
"Mar 6, 2018","29,61"
"Mar 7, 2018","26,33"
"Mar 8, 2018","34,53"
"Mar 9, 2018","33,543"
"Mar 10, 2018","26,363"
"Mar 11, 2018","33,181"
"Mar 12, 2018","26,57"
"Mar 13, 2018","34,557"
"Mar 14, 2018","26,707"
"Mar 15, 2018",
"Mar 16, 2018","28,967"
"Mar 17, 2018","30,366"
"Mar 18, 2018","34,785"
"Mar 19, 2018","29,77"
"Mar 20, 2018","33,852"
"Mar 21, 2018",
