DATA,TEMPERATURA
"Jan 1, 2017",
"Jan 2, 2017",
"Jan 3, 2017","30,797"
"Jan 4, 2017",
"Jan 5, 2017",
"Jan 6, 2017",
"Jan 7, 2017","32,308"
"Jan 8, 2017","33,967"
"Jan 9, 2017","34,303"
"Jan 10, 2017",
"Jan 11, 2017",
"Jan 12, 2017","31,03"
"Jan 13, 2017","27,696"
"Jan 14, 2017",
"Jan 15, 2017",
"Jan 16, 2017",
"Jan 17, 2017","27,083"
"Jan 18, 2017","21,87"
"Jan 19, 2017","29,37"
"Jan 20, 2017","22,33"
"Jan 21, 2017","30,6"
"Jan 22, 2017","24,983"
"Jan 23, 2017","25,57"
"Jan 24, 2017","25,89"
"Jan 25, 2017",
"Jan 26, 2017",
"Jan 27, 2017",
"Jan 28, 2017",
"Jan 29, 2017",
"Jan 30, 2017",
"Jan 31, 2017",
"Feb 1, 2017","26,97"
"Feb 2, 2017",
"Feb 3, 2017","23,63"
"Feb 4, 2017","32,848"
"Feb 5, 2017","28,577"
"Feb 6, 2017","30,525"
"Feb 7, 2017","32,33"
"Feb 8, 2017","30,805"
"Feb 9, 2017","32,709"
"Feb 10, 2017",
"Feb 11, 2017",
"Feb 12, 2017",
"Feb 13, 2017",
"Feb 14, 2017",
"Feb 15, 2017","32,11"
"Feb 16, 2017","32,255"
"Feb 17, 2017","31,859"
"Feb 18, 2017","33,284"
"Feb 19, 2017","31,694"
"Feb 20, 2017","33,967"
"Feb 21, 2017","27,262"
"Feb 22, 2017","33,217"
"Feb 23, 2017","33,694"
"Feb 24, 2017",
"Feb 25, 2017","30,17"
"Feb 26, 2017",
"Feb 27, 2017","31,474"
"Feb 28, 2017","28,75"
"Mar 1, 2017","32,279"
"Mar 2, 2017","21,99"
"Mar 3, 2017",
"Mar 4, 2017",
"Mar 5, 2017","27,35"
"Mar 6, 2017",
"Mar 7, 2017","25,425"
"Mar 8, 2017","32,473"
"Mar 9, 2017","28,362"
"Mar 10, 2017",
"Mar 11, 2017","31,41"
"Mar 12, 2017","31,042"
"Mar 13, 2017","32,102"
"Mar 14, 2017","28,142"
"Mar 15, 2017","32,088"
"Mar 16, 2017",
"Mar 17, 2017",
"Mar 18, 2017",
"Mar 19, 2017",
"Mar 20, 2017","28,302"
"Mar 21, 2017","28,084"
"Mar 22, 2017","30,666"
"Mar 23, 2017","22,77"
"Mar 24, 2017","32,292"
"Mar 25, 2017","29,83"
"Mar 26, 2017","28,647"
"Mar 27, 2017",
"Mar 28, 2017","24,37"
"Mar 29, 2017","29,787"
"Mar 30, 2017","27,11"
"Mar 31, 2017","30,409"
"Apr 1, 2017",
"Apr 2, 2017","27,55"
"Apr 3, 2017","26,708"
"Apr 4, 2017","22,63"
"Apr 5, 2017",
"Apr 6, 2017",
