system:time_start,LST_Day_1km
"Jan 1, 2019",
"Jan 2, 2019",36.27
"Jan 3, 2019",
"Jan 4, 2019",36.954
"Jan 5, 2019",
"Jan 6, 2019",
"Jan 7, 2019",
"Jan 8, 2019",
"Jan 9, 2019",
"Jan 10, 2019",
"Jan 11, 2019",33.023
"Jan 12, 2019",30.67
"Jan 13, 2019",31.899
"Jan 14, 2019",34.77
"Jan 15, 2019",
"Jan 16, 2019",27.07
"Jan 17, 2019",
"Jan 18, 2019",
"Jan 19, 2019",28.632
"Jan 20, 2019",32.634
"Jan 21, 2019",31.972
"Jan 22, 2019",36.781
"Jan 23, 2019",38.216
"Jan 24, 2019",
"Jan 25, 2019",30.71
"Jan 26, 2019",
"Jan 27, 2019",34.583
"Jan 28, 2019",31.16
"Jan 29, 2019",38.653
"Jan 30, 2019",38.274
"Jan 31, 2019",
"Feb 1, 2019",31.431
"Feb 2, 2019",
"Feb 3, 2019",38.302
"Feb 4, 2019",
"Feb 5, 2019",30.35
"Feb 6, 2019",31.15
"Feb 7, 2019",33.033
"Feb 8, 2019",38.155
"Feb 9, 2019",
"Feb 10, 2019",38.916
"Feb 11, 2019",
"Feb 12, 2019",
"Feb 13, 2019",
"Feb 14, 2019",
"Feb 15, 2019",
"Feb 16, 2019",26.473
"Feb 17, 2019",34.542
"Feb 18, 2019",
"Feb 19, 2019",23.99
"Feb 20, 2019",25.39
"Feb 21, 2019",29.758
"Feb 22, 2019",
"Feb 23, 2019",32.579
"Feb 24, 2019",35.527
"Feb 25, 2019",30.45
"Feb 26, 2019",
"Feb 27, 2019",
"Feb 28, 2019",
"Mar 1, 2019",
"Mar 2, 2019",28.701
"Mar 3, 2019",21.285
"Mar 4, 2019",27.473
"Mar 5, 2019",22.66
"Mar 6, 2019",
"Mar 7, 2019",21.59
"Mar 8, 2019",26.64
"Mar 9, 2019",
"Mar 10, 2019",27.786
"Mar 11, 2019",
"Mar 12, 2019",
"Mar 13, 2019",29.427
"Mar 14, 2019",27.04
"Mar 15, 2019",
"Mar 16, 2019",22.89
"Mar 17, 2019",25.59
"Mar 18, 2019",
"Mar 19, 2019",28.294
"Mar 20, 2019",
"Mar 21, 2019",22.55
"Mar 22, 2019",25.35
"Mar 23, 2019",30.923
"Mar 24, 2019",31.016
"Mar 25, 2019",32.35
"Mar 26, 2019",33.6
"Mar 27, 2019",28.209
"Mar 28, 2019",31.853
"Mar 29, 2019",26.805
"Mar 30, 2019",32.083
"Mar 31, 2019",
"Apr 1, 2019",
"Apr 2, 2019",
"Apr 3, 2019",
"Apr 4, 2019",30.938
"Apr 5, 2019",
"Apr 6, 2019",
"Apr 7, 2019",
"Apr 8, 2019",28.041
"Apr 9, 2019",28.402
"Apr 10, 2019",28.534
"Apr 11, 2019",30.772
"Apr 12, 2019",26.699
"Apr 13, 2019",29.705
"Apr 14, 2019",
"Apr 15, 2019",29.784
"Apr 16, 2019",
"Apr 17, 2019",31.969
"Apr 18, 2019",32.148
"Apr 19, 2019",29.276
"Apr 20, 2019",32.969
"Apr 21, 2019",
"Apr 22, 2019",
"Apr 23, 2019",25.23
"Apr 24, 2019",30.785
"Apr 25, 2019",30.144
"Apr 26, 2019",30.415
"Apr 27, 2019",30.083
"Apr 28, 2019",
"Apr 29, 2019",26.075
"Apr 30, 2019",23.919
"May 1, 2019",
"May 2, 2019",
"May 3, 2019",27.41
"May 4, 2019",
"May 5, 2019",29.2
"May 6, 2019",30.284
"May 7, 2019",
"May 8, 2019",24.846
"May 9, 2019",
"May 10, 2019",
"May 11, 2019",
"May 12, 2019",23.19
"May 13, 2019",
"May 14, 2019",15.45
"May 15, 2019",25.853
"May 16, 2019",
"May 17, 2019",26.351
"May 18, 2019",24.17
"May 19, 2019",26.556
"May 20, 2019",27.587
"May 21, 2019",18.842
"May 22, 2019",24.701
"May 23, 2019",
"May 24, 2019",18.71
"May 25, 2019",
"May 26, 2019",22.95
"May 27, 2019",26.299
"May 28, 2019",
"May 29, 2019",
"May 30, 2019",
"May 31, 2019",26.781
"Jun 1, 2019",
"Jun 2, 2019",
"Jun 3, 2019",20.487
"Jun 4, 2019",23.95
"Jun 5, 2019",22.297
"Jun 6, 2019",21.981
"Jun 7, 2019",25.709
"Jun 8, 2019",21.83
"Jun 9, 2019",24.78
"Jun 10, 2019",
"Jun 11, 2019",25.468
"Jun 12, 2019",20.65
"Jun 13, 2019",25.586
"Jun 14, 2019",25.594
"Jun 15, 2019",24.53
"Jun 16, 2019",28.354
"Jun 17, 2019",22.204
"Jun 18, 2019",26.404
"Jun 19, 2019",26.863
"Jun 20, 2019",
"Jun 21, 2019",26.581
"Jun 22, 2019",24.517
"Jun 23, 2019",27.778
"Jun 24, 2019",23.17
"Jun 25, 2019",29.415
"Jun 26, 2019",
"Jun 27, 2019",
"Jun 28, 2019",26.05
"Jun 29, 2019",25.95
"Jun 30, 2019",28.71
"Jul 1, 2019",23.73
"Jul 2, 2019",
"Jul 3, 2019",
"Jul 4, 2019",
"Jul 5, 2019",19.07
"Jul 6, 2019",15.45
"Jul 7, 2019",18.918
"Jul 8, 2019",18.11
"Jul 9, 2019",23.033
"Jul 10, 2019",20.73
"Jul 11, 2019",25.093
"Jul 12, 2019",
"Jul 13, 2019",24.288
"Jul 14, 2019",27.847
"Jul 15, 2019",21.51
"Jul 16, 2019",21.143
"Jul 17, 2019",14.71
"Jul 18, 2019",22.483
"Jul 19, 2019",17.77
"Jul 20, 2019",24.78
"Jul 21, 2019",
"Jul 22, 2019",
"Jul 23, 2019",28.589
"Jul 24, 2019",27.212
"Jul 25, 2019",24.315
"Jul 26, 2019",
"Jul 27, 2019",27.288
"Jul 28, 2019",
"Jul 29, 2019",27.406
"Jul 30, 2019",27.665
"Jul 31, 2019",27.652
"Aug 1, 2019",29.972
"Aug 2, 2019",27.966
"Aug 3, 2019",23.599
"Aug 4, 2019",16.93
"Aug 5, 2019",23.408
"Aug 6, 2019",25.778
"Aug 7, 2019",29.089
"Aug 8, 2019",30.278
"Aug 9, 2019",30.589
"Aug 10, 2019",30.284
"Aug 11, 2019",27.476
"Aug 12, 2019",33.47
"Aug 13, 2019",
"Aug 14, 2019",27.096
"Aug 15, 2019",24.697
"Aug 16, 2019",27.658
"Aug 17, 2019",33.084
"Aug 18, 2019",
"Aug 19, 2019",28.356
"Aug 20, 2019",19.99
"Aug 21, 2019",30.96
"Aug 22, 2019",27.716
"Aug 23, 2019",30.03
"Aug 24, 2019",29.719
"Aug 25, 2019",26.91
"Aug 26, 2019",30.844
